,Year,Region,Forests,Forest Area,Groves,Grasslands,Reeds - Swamps,Agricultural Areas,Crop Residues,Landfills,Total Burned Acres
0,2000,Aetolia-Acarnania,437.9,8553.400000000001,0.2,12822.100000000004,775.9000000000001,1516.2999999999993,763.8000000000002,58.60000000000004,24928.200000000004
1,2000,Argolis,8007,1164.4,11.1,66.9,66.1,840.3000000000005,71.1,27.100000000000005,10254.000000000002
2,2000,Arcadia,3322.3,41796.3,0.1,20613.4,47.5,9970.1,247.6,40.00000000000001,76037.30000000002
3,2000,Arta,9.7,3185.8,0,112.3,943.7,5251.3,30.5,2.1,9535.4
4,2000,Attica,4761.699999999999,20549.8,0.1,1189.2000000000007,24.700000000000003,1332.2,95.19999999999999,86.60000000000001,28039.5
5,2000,Achaea,335.8,2025.9,0.5,308.89999999999975,169.89999999999995,794.2000000000007,56.90000000000002,75.10000000000007,3767.2000000000007
6,2000,Boeotia,142.1,6148.300000000001,9,325.80000000000007,71.0,1380.0,1940.1,100.0,10116.300000000001
7,2000,Grevena,7255.600000000002,1263.8,5.1,966.4,4.7,676.1,8670,1.1,18842.800000000003
8,2000,Drama,4597.0,25068.299999999996,2.4000000000000004,5395.900000000001,6.5,151.3,2825.9999999999995,26.30000000000001,38073.700000000004
9,2000,Dodecanese,245.1,685.7,0,1128.8,29.0,158.1,3.1,30.1,2279.8999999999996
10,2000,Evros,3968.7,7557.800000000001,4.5,6210.7,331.5,1376.6,37398.9,2295.4999999999995,59144.2
11,2000,Euboea,7392.0,9922.5,20.400000000000006,2443.2000000000003,4511.299999999999,4451.9,816.2000000000003,252.1999999999999,29809.700000000004
12,2000,Eurytania,23.300000000000004,25,0,42.300000000000004,0,0.2,0,0.2,91.00000000000001
13,2000,Zakynthos,417.2,877.3000000000001,0,97.4,20.699999999999996,492.5,505.3,4.5,2414.9
14,2000,Elis,1053.4,1378.7000000000003,3,359.5,351.79999999999995,1494.9,297.70000000000005,37.699999999999996,4976.700000000001
15,2000,Imathia,20.300000000000004,48.7,0.8,120.89999999999998,46.0,117.9,213.7,17.0,585.3
16,2000,Heraklion,23,86.5,0,841.3000000000001,44.300000000000004,421.29999999999995,37.1,91.69999999999999,1545.2
17,2000,Thesprotia,114.19999999999999,301.19999999999993,0,383.20000000000005,354.5,218.49999999999994,0.2,5.0,1376.8
18,2000,Thessaloniki,307.5,978.5000000000001,18.5,1133.1,13.399999999999999,1558.4999999999998,10927.100000000004,386.7,15323.300000000005
19,2000,Ioannina,65835.5,19114.099999999995,20,831.7000000000004,52.2,1235.1,24,18.8,87131.4
20,2000,Kavala,4067.5,4407.299999999999,11.2,669.3,103.39999999999999,659.9000000000003,270.9,10.3,10199.799999999997
21,2000,Karditsa,71117.5,7315.5,0,8544.5,185,2864.2999999999997,3175.7999999999997,332.3,93534.90000000001
22,2000,Kastoria,4345.2,2881.5,2,3341.3,5.5,221,1743,10.1,12549.6
23,2000,Corfu,150.2,2863.1,0.2,3896.599999999999,19.6,2584.199999999999,2.4000000000000004,0.30000000000000004,9516.599999999997
24,2000,Cephalonia,124.7,2539.7,0.2,418.8000000000002,4,1715.5999999999997,4.899999999999999,8.1,4815.999999999999
25,2000,Kilkis,475,487.5,6.5,2231.9,248.2,331.1,9833.400000000001,28.1,13641.700000000003
26,2000,Kozani,2113,3442.5,0.30000000000000004,5306.6,11,3925.5,22630.5,0,37429.4
27,2000,Corinthia,100959.50000000001,3046.5999999999985,0.30000000000000004,30131.8,26.9,71172.09999999999,18.9,552.6000000000001,205908.7
28,2000,Cyclades,0,3048,100,3632,226.8,835.9,135,352,8329.7
29,2000,Laconia,2155.6,19543.199999999997,1,5332.9000000000015,778.5,21044.799999999996,14.399999999999999,28.300000000000004,48898.7
30,2000,Larissa,11298.1,42584.6,14.399999999999999,31194.899999999998,787.3000000000001,27587.199999999997,46202.5,180.79999999999995,159849.8
31,2000,Lasithi,2,120.5,0,592.6999999999999,0.9999999999999999,142.99999999999997,0.5,3.3,862.9999999999999
32,2000,Lesbos,2,7.1,0,1227.2,77.2,69.4,93.5,0.1,1476.5
33,2000,Lefkada,210,82.0,0.8,272.70000000000005,90.4,331.9000000000001,0,0.5,988.3000000000001
34,2000,Magnesia,2239.1,16779.7,0.1,7863.7,16.1,15766.2,17585.999999999996,3.3,60254.2
35,2000,Messenia,259.9,6327.900000000001,0.1,475.09999999999997,215.09999999999994,837.1000000000001,36.20000000000001,20.50000000000001,8171.9000000000015
36,2000,Xanthi,462.1,21.0,0.6,420.0,42,240.2,4048.5,38.5,5272.9
37,2000,Pella,44,2549,5.2,4378.7,68.6,351.5,878.5,4,8279.5
38,2000,Pieria,187.1,65.0,6,187.2,37.5,172.69999999999996,399.30000000000007,11.6,1066.4
39,2000,Preveza,20.3,3804.5,0.2,1089.4,366.5,976.3000000000001,47.4,6.5,6311.099999999999
40,2000,Rethymno,20.7,337.3,0,2011.4,0,672.0000000000001,1.2999999999999998,11.2,3053.9
41,2000,Rhodope,281.1,1542.1,13,760.1,1133,33.0,11972.5,158.59999999999997,15893.4
42,2000,Samos,93531,51274.2,0,8.799999999999999,11.2,6067.700000000001,3.4000000000000004,13.6,150909.90000000002
43,2000,Serres,4916,1314.5,2.0,3498.2999999999997,93.89999999999999,844.9,4742.5,34.2,15446.3
44,2000,Trikala,1326.7,1913.7999999999995,0.1,5394.2,83.1,166.0,2015.5,0.7,10900.1
45,2000,Phthiotis,45611.4,77254.2,2,14741.2,458.6,20828.6,26907.5,31.3,185834.80000000002
